StudentID,Name,City,Age,Score,JoinedDate,IsActive
S001,Student_1,Pune,26,58.55,2024-01-01,True
S002,Student_2,Kolkata,22,76.41,2024-01-02,False
S003,Student_3,Kolkata,18,92.66,2024-01-03,False
S004,Student_4,Bengaluru,22,58.34,2024-01-04,False
S005,Student_5,Delhi,29,81.87,2024-01-05,True
S006,Student_6,Chennai,28,71.8,2024-01-06,True
S007,Student_7,Kolkata,20,55.17,2024-01-07,True
S008,Student_8,Pune,27,79.73,2024-01-08,True
S009,Student_9,Bengaluru,20,89.16,2024-01-09,True
S010,Student_10,Kolkata,22,43.52,2024-01-10,True
S011,Student_11,Chennai,22,97.8,2024-01-11,False
S012,Student_12,Chennai,24,59.16,2024-01-12,True
S013,Student_13,Pune,29,54.83,2024-01-13,True
S014,Student_14,Chennai,22,92.65,2024-01-14,False
S015,Student_15,Pune,25,44.18,2024-01-15,True
S016,Student_16,Chennai,29,87.01,2024-01-16,True
S017,Student_17,Bengaluru,30,78.77,2024-01-17,True
S018,Student_18,Pune,20,43.23,2024-01-18,False
S019,Student_19,Pune,22,84.43,2024-01-19,True
S020,Student_20,Pune,30,52.89,2024-01-20,True
S021,Student_21,Pune,19,97.12,2024-01-21,True
S022,Student_22,Bengaluru,30,79.1,2024-01-22,True
S023,Student_23,Chennai,29,57.25,2024-01-23,False
S024,Student_24,Kolkata,26,54.63,2024-01-24,True
S025,Student_25,Chennai,25,92.8,2024-01-25,False
S026,Student_26,Hyderabad,23,68.03,2024-01-26,False
S027,Student_27,Hyderabad,22,84.26,2024-01-27,True
S028,Student_28,Mumbai,19,78.59,2024-01-28,False
S029,Student_29,Hyderabad,21,64.79,2024-01-29,False
S030,Student_30,Kolkata,24,95.01,2024-01-30,True
S031,Student_31,Mumbai,23,84.79,2024-01-31,True
S032,Student_32,Bengaluru,28,85.3,2024-02-01,False
S033,Student_33,Chennai,25,62.46,2024-02-02,False
S034,Student_34,Mumbai,28,43.48,2024-02-03,True
S035,Student_35,Delhi,19,98.67,2024-02-04,False
S036,Student_36,Mumbai,25,61.18,2024-02-05,True
S037,Student_37,Bengaluru,27,40.92,2024-02-06,True
S038,Student_38,Mumbai,27,54.77,2024-02-07,True
